sample_id,image_path,ground_truth,language,dataset,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,tokens_used_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,tokens_used_gpt-5-nano,error_gpt-5-nano
icdar_tr_img_00170,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00170.jpg,"- نقل بضائع
- 29 267 103
- 20 396 224
- 20 395 207","Latin, Symbols, Arabic",ICDAR_mini,"ابن
بضائع
نقل
29
267
103
/",9724.922180175781,,,"ابن
بضائع
نقل
29
267
103
/",9583.043098449707,,
icdar_tr_img_00194,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00194.jpg,,Arabic,ICDAR_mini,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
خدمات
طالب
ملف
الأسبوع
التمهيدي",15440.829038619995,,,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
خدمات
طالب
ملف
الأسبوع
التمهيدي",14439.733028411865,,
icdar_tr_img_00198,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00198.jpg,"- GOVERNMENT OF DUBAI
- AL BARSHA POLICE STATION
- مركز شرطة البرشاء","Arabic, Latin",ICDAR_mini,"حُكومَةُ
دُبَيّ
AL
BARSHA
POLICE
STATION
البرشاء
شرطة
مركز",9930.558919906616,,,"حُكومَةُ
دُبَيّ
AL
BARSHA
POLICE
STATION
البرشاء
شرطة
مركز",9435.27603149414,,
icdar_tr_img_00214,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00214.jpg,"- جزيرة أمواج
- Amwaj Islands
- عراد - الحد
- Arad - Hidd","Symbols, Arabic, Latin",ICDAR_mini,"أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-",6041.222095489502,,,"أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-",9944.133996963501,,
icdar_tr_img_00218,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00218.jpg,"- للمسلمين فقط
- Muslims Only
- مكة المكرمة
- Makkah
- LES ENFANTS DU G...","Arabic, Latin",ICDAR_mini,"للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
LES
ENFANTS
DU",8796.913146972656,,,"للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
LES
ENFANTS
DU",9273.920774459839,,
icdar_tr_img_00222,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00222.jpg,,"Symbols, Arabic, Latin",ICDAR_mini,"الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:",14428.319931030273,,,"الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:",14457.235097885132,,
icdar_tr_img_00237,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00237.jpg,بيروت,Arabic,ICDAR_mini,"ابن
زهر",9946.18272781372,,,"ابن
زهر",8895.6139087677,,
icdar_tr_img_00248,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00248.jpg,,"Latin, Symbols, Arabic",ICDAR_mini,"٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد",13318.575143814087,,,"٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد",14792.474746704102,,
icdar_tr_img_00259,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00259.jpg,"Here is the visible text I can extract from the image:

- CENTRE DE DIALYSE TARGA
- مركز تصفية الدم تَارغا
- CENTRE DE DIALYSE (on the ambulance)
- TARGA (on the ambulance)

Note: The Arabic line is the transliteration of the French name on the sign. The ambulance text repeats the sign in smaller letters.","Arabic, None, Latin",ICDAR_mini,"مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE",8708.162069320679,,,"مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE",10940.987825393677,,
icdar_tr_img_00260,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00260.jpg,مركز التكوين المهني في الصناعات التقليدية,Arabic,ICDAR_mini,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز",7677.589893341064,,,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز",10930.606126785278,,
icdar_tr_img_00269,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00269.jpg,,Arabic,ICDAR_mini,"الرفع
قبل
الدفع",7881.9990158081055,,,"الرفع
قبل
الدفع",14517.168998718262,,
icdar_tr_img_00277,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00277.jpg,"- السنبلة الذهبية
- L'EPI D'OR
- DEPUIS 1943
- Depuis 1943
- Mihamines 3
- PURE SEMOULE DE BLE DUR
- PURE DURUM WHEAT SEMOLINA","Arabic, Latin",ICDAR_mini,"السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE",16178.526878356934,,,"السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE",13868.141174316406,,
icdar_tr_img_00278,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00278.jpg,"مستودع الحكمي للمواد الغذائية
هاتف 3190552","Latin, Arabic",ICDAR_mini,"ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552",16280.945777893066,,,"ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552",22065.05298614502,,
icdar_tr_img_00285,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00285.jpg,"- OUED BOUKHALIFA
- وادي بوخليفة","Latin, Arabic",ICDAR_mini,"خالفة
وادي
بو
OUED
BOUKHALFA",11983.179092407227,,,"خالفة
وادي
بو
OUED
BOUKHALFA",11257.081985473633,,
icdar_tr_img_00293,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00293.jpg,,"Arabic, None, Latin",ICDAR_mini,"جندوبة
JENDOUBA
باجة
BEJA
طبرقة
TABARKA
دراهم
عين
AiN
DRAHAM",8396.566152572632,,,"جندوبة
JENDOUBA
باجة
BEJA
طبرقة
TABARKA
دراهم
عين
AiN
DRAHAM",12592.944145202637,,
icdar_tr_img_00298,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00298.jpg,,"Latin, Arabic",ICDAR_mini,"المسارحة
احد
صامطة
الطوال
الشبيكة
٥٠٠
م
500
M",13824.537754058838,,,"المسارحة
احد
صامطة
الطوال
الشبيكة
٥٠٠
م
500
M",15240.124940872192,,
icdar_tr_img_00310,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00310.jpg,,"Latin, Arabic",ICDAR_mini,"خياط
امواج
الأقمشة
الرجالية
للخياطة
8939629
٠٥٥٠٣٢١٢٦٩",15053.035020828247,,,"خياط
امواج
الأقمشة
الرجالية
للخياطة
8939629
٠٥٥٠٣٢١٢٦٩",15459.455966949463,,
icdar_tr_img_00334,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00334.jpg,,"Arabic, Latin",ICDAR_mini,"ى
مغاسل
الأفق
LAUNDRY
ALـOFOQ
خدمة
سريعة
Service
OFOQ
Express",7578.258037567139,,,"ى
مغاسل
الأفق
LAUNDRY
ALـOFOQ
خدمة
سريعة
Service
OFOQ
Express",15220.911979675293,,
icdar_tr_img_00383,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00383.jpg,"- 20
- 6
- HEBA
- صندوق إطفاء حريق
- FIRE HOSE CABINET","Arabic, None, Latin",ICDAR_mini,"20
السعر
20
6
هبه
HEBA
إطفاء
حريق
صندوق
FIRE
HOSE
CABINET",12898.3895778656,,,"20
السعر
20
6
هبه
HEBA
إطفاء
حريق
صندوق
FIRE
HOSE
CABINET",15548.770189285278,,
icdar_tr_img_00384,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00384.jpg,,"Latin, Arabic",ICDAR_mini,"صيدلية
صيدلية
شقرون",11162.69588470459,,,"صيدلية
صيدلية
شقرون",14059.190034866333,,
icdar_tr_img_00395,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00395.jpg,,"Latin, Arabic",ICDAR_mini,"نهج
الاندلس
RUE
ANDALOUS
DES",8636.913061141968,,,"نهج
الاندلس
RUE
ANDALOUS
DES",12036.971092224121,,
icdar_tr_img_00409,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00409.jpg,"طريق 25
شارع الخليج العربي
Arabian Gulf Street","Latin, Arabic",ICDAR_mini,"طريق
25
شارع
الخليج
العربي
Gulf
Arabian
Street",3582.608938217163,,,"طريق
25
شارع
الخليج
العربي
Gulf
Arabian
Street",6229.956865310669,,
icdar_tr_img_00456,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00456.jpg,,"Arabic, Latin",ICDAR_mini,"igh
Ama
Travel
أسفار
457
393
96
وكالة
175
224
21
VOYAGES
DE
AGENCE
داخلية
رحلات
وخارجية
أمازيغ
Ama
للأسفار
على
عمرة
السنة
مدار
تذاكر
Travel
ges
ménage",12224.585056304932,,,"igh
Ama
Travel
أسفار
457
393
96
وكالة
175
224
21
VOYAGES
DE
AGENCE
داخلية
رحلات
وخارجية
أمازيغ
Ama
للأسفار
على
عمرة
السنة
مدار
تذاكر
Travel
ges
ménage",14641.55101776123,,
icdar_tr_img_00459,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00459.jpg,,"Latin, None, Arabic",ICDAR_mini,"جواجم
فطور
صباح
بونجورنو
ياغورت
دياري",14900.654792785645,,,"جواجم
فطور
صباح
بونجورنو
ياغورت
دياري",13815.861940383911,,
icdar_tr_img_00512,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00512.jpg,The text in the image reads: تارزكة,Arabic,ICDAR_mini,تازركة,8242.652893066406,,,تازركة,15598.71220588684,,
icdar_tr_img_00543,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00543.jpg,"بن لادن قسم الأساسات
BIN LADIN PILING
Tel. 2663404
Fax. 2626347
P.O.Box. 1555 Dubai","Latin, Arabic",ICDAR_mini,"الأساسات
قسم
لادن
بن
LADIN
BIN
PILING
٢٦٦٣٤٠٤
فاكس/
ت/
٢٦٢٦٣٤٧
١٥٥٥
ص-ب/
دبي
26266347
Dubai
Fax.
P.O.Box.
1555
Tel.
2663404",9270.17593383789,,,"الأساسات
قسم
لادن
بن
LADIN
BIN
PILING
٢٦٦٣٤٠٤
فاكس/
ت/
٢٦٢٦٣٤٧
١٥٥٥
ص-ب/
دبي
26266347
Dubai
Fax.
P.O.Box.
1555
Tel.
2663404",8031.485080718994,,
icdar_tr_img_00557,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00557.jpg,,"Latin, Arabic",ICDAR_mini,"الطبي
المجمع
Medical
City
المغناطيسي
بالرنين
التصوير
مخبر
التحاليل
الطبية
Médicales
D'analyses
Laboratoire",10022.035360336304,,,"الطبي
المجمع
Medical
City
المغناطيسي
بالرنين
التصوير
مخبر
التحاليل
الطبية
Médicales
D'analyses
Laboratoire",12874.803066253662,,
icdar_tr_img_00573,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00573.jpg,"- Arabic: مجمع شيبرا مول
- English: Commercial Complex","Latin, Arabic",ICDAR_mini,"شبرا
مجمع
nmercial
Complex",12495.131254196167,,,"شبرا
مجمع
nmercial
Complex",11861.348867416382,,
icdar_tr_img_00591,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00591.jpg,"- نقطة شحن
- Ooredoo","Latin, Arabic",ICDAR_mini,"شحن
نقطة
ooredoo",5530.883073806763,,,"شحن
نقطة
ooredoo",9869.051933288574,,
icdar_tr_img_00593,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00593.jpg,"Extracted text:

Arabic:
- ربط حزام
- الامان

English:
- Wear Seat Belt","Latin, Arabic",ICDAR_mini,"ربط
حزام
الآمان
Seat
Wear
Belt",4464.998006820679,,,"ربط
حزام
الآمان
Seat
Wear
Belt",7900.081157684326,,
icdar_tr_img_00620,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00620.jpg,"Parti Socialiste Unifié - Maroc
الحزب الإشتراكي الموحد - المغرب","Symbols, Arabic, Latin",ICDAR_mini,"le
Parti
Socialiste
Unifié
Maroc
-
المغرب
الموحد
الإشتراكي
الحزب
Com
-",5754.352807998657,,,"le
Parti
Socialiste
Unifié
Maroc
-
المغرب
الموحد
الإشتراكي
الحزب
Com
-",8074.96976852417,,
icdar_tr_img_00638,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00638.jpg,,Arabic,ICDAR_mini,"لجنة
زكاة
القدس
باتجاه
الصدقات
النذور
الزكوات
نستقبل
و
و
لجنة
أيتام
صدقة
كفالة
الفطر
القدس
صائم
زكاة
افطار
و
و",11489.161968231201,,,"لجنة
زكاة
القدس
باتجاه
الصدقات
النذور
الزكوات
نستقبل
و
و
لجنة
أيتام
صدقة
كفالة
الفطر
القدس
صائم
زكاة
افطار
و
و",11637.759923934937,,
icdar_tr_img_00661,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00661.jpg,,"Arabic, Latin",ICDAR_mini,"نظيف
ديما
M
Farrell
ميكانيك
ن
Nana
سيّارات
3
3
2
2
898
2
2
1
G
136
54492
54493",13715.40880203247,,,"نظيف
ديما
M
Farrell
ميكانيك
ن
Nana
سيّارات
3
3
2
2
898
2
2
1
G
136
54492
54493",14187.381744384766,,
icdar_tr_img_00682,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00682.jpg,"- Diwan Travel
- ديوان للسفر","Arabic, Latin",ICDAR_mini,"ديوان
للأسفار
Travel
Diwan",8565.452098846436,,,"ديوان
للأسفار
Travel
Diwan",10848.987102508545,,
icdar_tr_img_00690,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00690.jpg,"- الهـواتف المميزة
- Special Phones
- 0565229769","Latin, Arabic",ICDAR_mini,"الهواتف
المتميزة
ونيات
Phones
جوالك
0565229769
E052
084
085
٧٣٢٤",9024.327993392944,,,"الهواتف
المتميزة
ونيات
Phones
جوالك
0565229769
E052
084
085
٧٣٢٤",10520.127058029175,,
icdar_tr_img_00695,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00695.jpg,,"Arabic, None, Latin",ICDAR_mini,"نديم
تحرّك
العزيز
بن
عبد
KING",14325.411081314087,,,"نديم
تحرّك
العزيز
بن
عبد
KING",15156.975746154785,,
icdar_tr_img_00707,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00707.jpg,,"Symbols, Arabic, Latin",ICDAR_mini,"جربة
سنتر
كوبي
Copy
Center
Djerba
Photocopie
noir
/Blanc
Couleur
&
laser
numerique
Tirage
de
Plan
Location
Data
-Show
Transfert
-
-
ti-short
sur
Plastification
chaud
a
Spiral
&
reliure
-
à
chaud
Tél:
75
652
995
Fax:
75
652
996
3",10341.14408493042,,,"جربة
سنتر
كوبي
Copy
Center
Djerba
Photocopie
noir
/Blanc
Couleur
&
laser
numerique
Tirage
de
Plan
Location
Data
-Show
Transfert
-
-
ti-short
sur
Plastification
chaud
a
Spiral
&
reliure
-
à
chaud
Tél:
75
652
995
Fax:
75
652
996
3",14949.00107383728,,
icdar_tr_img_00708,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00708.jpg,"- NOOR BANK
- Noor Bank
- نور بنك","Latin, Arabic",ICDAR_mini,"NOOR
BANK
نور
بنك
بنك
نور
Noor
Bank",5551.284074783325,,,"NOOR
BANK
نور
بنك
بنك
نور
Noor
Bank",7098.911285400391,,
icdar_tr_img_00715,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00715.jpg,,"Latin, Arabic",ICDAR_mini,"إقامة
الأحلام
شقق
مؤثثة
خاصّة
بالعائلات
الجوّال:
442
740
52
892
242
20",7924.555063247681,,,"إقامة
الأحلام
شقق
مؤثثة
خاصّة
بالعائلات
الجوّال:
442
740
52
892
242
20",13577.853918075562,,
icdar_tr_img_00721,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00721.jpg,"- مصرف الجنوب التونسي
- بيع مواد كهربائية بالجملة والتفصيل
- SUT","Latin, None, Arabic",ICDAR_mini,"التونسي
S'UT
M
الجنوب
مصرف
بالتفصيل
كهربائية
مواد
بيع",13864.300012588501,,,"التونسي
S'UT
M
الجنوب
مصرف
بالتفصيل
كهربائية
مواد
بيع",12981.366157531738,,
icdar_tr_img_00742,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00742.jpg,مركز التصوير الطبي الفارابي,Arabic,ICDAR_mini,"مركز
التصوير
الفارابي
الطبي",7537.298202514648,,,"مركز
التصوير
الفارابي
الطبي",11058.06016921997,,
icdar_tr_img_00752,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00752.jpg,"- وزارة الداخلية

There is no other clearly legible text in the image.",Arabic,ICDAR_mini,"وزارة
الداخلية",5840.890884399414,,,"وزارة
الداخلية",4719.5329666137695,,
icdar_tr_img_00783,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00783.jpg,,"Arabic, None, Latin",ICDAR_mini,"نجد
للإتصالات
Najd
Telecom
Tel:
013
8999633
قطاعي
جملة
للإيجار
FOR
AGH
المانع
العامة",13194.8401927948,,,"نجد
للإتصالات
Najd
Telecom
Tel:
013
8999633
قطاعي
جملة
للإيجار
FOR
AGH
المانع
العامة",13165.552139282227,,
icdar_tr_img_00846,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00846.jpg,,"Arabic, Latin",ICDAR_mini,"اهلا
WELCOME
سهلا
بكم
و
TO
فى
الكويت
KUWAIT",7269.908905029297,,,"اهلا
WELCOME
سهلا
بكم
و
TO
فى
الكويت
KUWAIT",11367.432832717896,,
