phase,sample_id,ground_truth_box_count,azure_intelligence_box_count,azure_intelligence_cat1_count,azure_intelligence_cat2_count,azure_intelligence_cat3_count,azure_intelligence_cat4_count,azure_intelligence_cat5_count,azure_intelligence_inference_time_ms,gpt-5-mini_box_count,gpt-5-mini_cat1_count,gpt-5-mini_cat2_count,gpt-5-mini_cat3_count,gpt-5-mini_cat4_count,gpt-5-mini_cat5_count,gpt-5-mini_inference_time_ms,gpt-5-nano_box_count,gpt-5-nano_cat1_count,gpt-5-nano_cat2_count,gpt-5-nano_cat3_count,gpt-5-nano_cat4_count,gpt-5-nano_cat5_count,gpt-5-nano_inference_time_ms,mistral_document_ai_box_count,mistral_document_ai_cat1_count,mistral_document_ai_cat2_count,mistral_document_ai_cat3_count,mistral_document_ai_cat4_count,mistral_document_ai_cat5_count,mistral_document_ai_inference_time_ms
P-A,11037,14,116,116,0,0,0,0,3427.4260997772217,,,,,,,,,,,,,,,0,0,0,0,0,0,3667.9491996765137
P-A,117878,12,94,94,0,0,0,0,3432.950019836426,,,,,,,,,,,,,,,0,0,0,0,0,0,3252.485990524292
P-A,117879,11,122,122,0,0,0,0,4628.606081008911,,,,,,,,,,,,,,,0,0,0,0,0,0,3555.31907081604
P-A,117880,8,119,119,0,0,0,0,3429.7120571136475,,,,,,,,,,,,,,,0,0,0,0,0,0,4002.81023979187
P-A,117881,10,121,121,0,0,0,0,6836.874008178711,,,,,,,,,,,,,,,0,0,0,0,0,0,3915.4272079467773
P-A,117882,9,122,122,0,0,0,0,3450.242042541504,,,,,,,,,,,,,,,0,0,0,0,0,0,6427.840948104858
P-A,117883,10,119,119,0,0,0,0,3684.1132640838623,,,,,,,,,,,,,,,0,0,0,0,0,0,3538.0232334136963
P-A,118511,14,66,64,2,0,0,0,3320.781946182251,,,,,,,,,,,,,,,0,0,0,0,0,0,60467.99612045288
P-A,119395,12,115,115,0,0,0,0,3416.1059856414795,,,,,,,,,,,,,,,0,0,0,0,0,0,3954.1468620300293
P-A,122849,13,114,114,0,0,0,0,3410.5148315429688,,,,,,,,,,,,,,,0,0,0,0,0,0,3410.2301597595215
P-A,127107,7,89,89,0,0,0,0,3279.9007892608643,,,,,,,,,,,,,,,0,0,0,0,0,0,3364.2220497131348
P-A,127108,7,65,65,0,0,0,0,3363.2702827453613,,,,,,,,,,,,,,,0,0,0,0,0,0,3188.041925430298
P-A,127109,4,127,127,0,0,0,0,3215.744972229004,,,,,,,,,,,,,,,0,0,0,0,0,0,14771.722316741943
P-A,127110,6,103,103,0,0,0,0,5591.692209243774,,,,,,,,,,,,,,,0,0,0,0,0,0,4386.174917221069
P-A,127122,6,31,31,0,0,0,0,4335.0279331207275,,,,,,,,,,,,,,,0,0,0,0,0,0,1979.9039363861084
P-A,127369,22,111,111,0,0,0,0,10324.505805969238,,,,,,,,,,,,,,,0,0,0,0,0,0,4140.144109725952
P-A,127370,26,113,113,0,0,0,0,3435.9729290008545,,,,,,,,,,,,,,,0,0,0,0,0,0,3435.749053955078
P-A,127663,13,61,59,2,0,0,0,4416.202068328857,,,,,,,,,,,,,,,0,0,0,0,0,0,10027.851104736328
P-A,130973,7,107,107,0,0,0,0,3237.0808124542236,,,,,,,,,,,,,,,0,0,0,0,0,0,1969.9740409851074
P-A,131382,21,125,125,0,0,0,0,3428.117036819458,,,,,,,,,,,,,,,0,0,0,0,0,0,4583.684921264648
P-A,131383,13,80,80,0,0,0,0,3452.548027038574,,,,,,,,,,,,,,,0,0,0,0,0,0,6766.886949539185
P-A,131384,14,115,115,0,0,0,0,5798.572063446045,,,,,,,,,,,,,,,0,0,0,0,0,0,3655.369758605957
P-A,131385,5,64,62,2,0,0,0,4343.755006790161,,,,,,,,,,,,,,,0,0,0,0,0,0,5738.256216049194
P-A,131386,9,129,129,0,0,0,0,3439.2800331115723,,,,,,,,,,,,,,,0,0,0,0,0,0,3332.5467109680176
P-A,131588,15,66,63,3,0,0,0,3211.350202560425,,,,,,,,,,,,,,,0,0,0,0,0,0,2615.8840656280518
P-A,134095,6,52,52,0,0,0,0,3197.3369121551514,,,,,,,,,,,,,,,0,0,0,0,0,0,10116.978883743286
P-A,134096,7,63,63,0,0,0,0,3261.5880966186523,,,,,,,,,,,,,,,0,0,0,0,0,0,2618.9751625061035
P-A,134110,5,44,44,0,0,0,0,3208.2459926605225,,,,,,,,,,,,,,,0,0,0,0,0,0,2615.878105163574
P-A,134111,5,44,44,0,0,0,0,3247.5359439849854,,,,,,,,,,,,,,,0,0,0,0,0,0,13332.23819732666
P-A,134112,5,45,45,0,0,0,0,3302.0899295806885,,,,,,,,,,,,,,,0,0,0,0,0,0,3380.213975906372
P-A,134113,6,43,43,0,0,0,0,3286.1480712890625,,,,,,,,,,,,,,,0,0,0,0,0,0,2008.329153060913
P-A,134114,7,43,43,0,0,0,0,5547.168016433716,,,,,,,,,,,,,,,0,0,0,0,0,0,4381.9420337677
P-A,134115,7,44,44,0,0,0,0,4371.791124343872,,,,,,,,,,,,,,,0,0,0,0,0,0,8499.305963516235
P-A,134116,4,47,47,0,0,0,0,4484.447956085205,,,,,,,,,,,,,,,0,0,0,0,0,0,2410.8548164367676
P-A,134117,7,43,43,0,0,0,0,3224.483013153076,,,,,,,,,,,,,,,0,0,0,0,0,0,2209.0320587158203
P-A,134118,5,47,47,0,0,0,0,3179.7029972076416,,,,,,,,,,,,,,,0,0,0,0,0,0,2281.9530963897705
P-A,138217,5,38,36,2,0,0,0,3120.675802230835,,,,,,,,,,,,,,,0,0,0,0,0,0,3280.426025390625
P-A,138221,6,40,39,1,0,0,0,3201.3988494873047,,,,,,,,,,,,,,,0,0,0,0,0,0,2003.8001537322998
P-A,138657,8,60,56,4,0,0,0,3330.9478759765625,,,,,,,,,,,,,,,0,0,0,0,0,0,2964.146137237549
P-A,138695,14,95,95,0,0,0,0,5597.637176513672,,,,,,,,,,,,,,,0,0,0,0,0,0,2288.6431217193604
P-A,138696,4,127,127,0,0,0,0,3403.324842453003,,,,,,,,,,,,,,,0,0,0,0,0,0,2755.3632259368896
P-A,138697,6,121,121,0,0,0,0,3463.362216949463,,,,,,,,,,,,,,,0,0,0,0,0,0,2655.1899909973145
P-A,138698,12,126,126,0,0,0,0,5616.456985473633,,,,,,,,,,,,,,,0,0,0,0,0,0,2544.883966445923
P-A,138699,6,120,120,0,0,0,0,3324.671983718872,,,,,,,,,,,,,,,0,0,0,0,0,0,3990.5312061309814
P-A,138700,6,121,121,0,0,0,0,5635.53786277771,,,,,,,,,,,,,,,0,0,0,0,0,0,2361.510992050171
P-A,138701,6,122,122,0,0,0,0,3338.421106338501,,,,,,,,,,,,,,,0,0,0,0,0,0,2315.7718181610107
P-A,1431,11,67,66,1,0,0,0,3205.132246017456,,,,,,,,,,,,,,,0,0,0,0,0,0,2548.1090545654297
P-A,14732,11,69,67,2,0,0,0,4436.866044998169,,,,,,,,,,,,,,,0,0,0,0,0,0,2752.6791095733643
P-A,153252,9,153,153,0,0,0,0,3288.95902633667,,,,,,,,,,,,,,,0,0,0,0,0,0,4204.854965209961
P-A,153295,28,101,101,0,0,0,0,3347.956895828247,,,,,,,,,,,,,,,0,0,0,0,0,0,3386.212110519409
P-A,155318,12,181,181,0,0,0,0,3428.8949966430664,,,,,,,,,,,,,,,0,0,0,0,0,0,4045.413017272949
P-A,155319,10,149,149,0,0,0,0,3452.9848098754883,,,,,,,,,,,,,,,0,0,0,0,0,0,5403.081178665161
P-A,155320,8,196,196,0,0,0,0,3374.946117401123,,,,,,,,,,,,,,,0,0,0,0,0,0,3951.550006866455
P-A,155321,9,116,116,0,0,0,0,4486.870765686035,,,,,,,,,,,,,,,0,0,0,0,0,0,2898.66304397583
P-A,155375,8,98,98,0,0,0,0,3305.0899505615234,,,,,,,,,,,,,,,0,0,0,0,0,0,2714.2691612243652
P-A,155408,8,106,106,0,0,0,0,3333.869218826294,,,,,,,,,,,,,,,0,0,0,0,0,0,3507.465362548828
P-A,158029,8,147,147,0,0,0,0,3390.760898590088,,,,,,,,,,,,,,,0,0,0,0,0,0,4297.816038131714
P-A,158756,13,67,64,3,0,0,0,3324.856996536255,,,,,,,,,,,,,,,0,0,0,0,0,0,2353.15203666687
P-A,161545,13,64,61,3,0,0,0,3292.6080226898193,,,,,,,,,,,,,,,0,0,0,0,0,0,2576.4119625091553
P-A,161664,10,77,77,0,0,0,0,3198.992967605591,,,,,,,,,,,,,,,0,0,0,0,0,0,3494.8408603668213
P-A,164172,6,153,153,0,0,0,0,3629.1990280151367,,,,,,,,,,,,,,,0,0,0,0,0,0,3458.406925201416
P-A,165155,10,77,77,0,0,0,0,3374.354839324951,,,,,,,,,,,,,,,0,0,0,0,0,0,3403.1031131744385
P-A,165156,2,178,178,0,0,0,0,3225.0118255615234,,,,,,,,,,,,,,,0,0,0,0,0,0,3776.4782905578613
P-A,165157,2,130,130,0,0,0,0,7868.849277496338,,,,,,,,,,,,,,,0,0,0,0,0,0,2634.4478130340576
P-A,165158,3,201,201,0,0,0,0,3281.6429138183594,,,,,,,,,,,,,,,0,0,0,0,0,0,2474.720001220703
P-A,165159,4,189,189,0,0,0,0,3396.1291313171387,,,,,,,,,,,,,,,0,0,0,0,0,0,2991.905927658081
P-A,165160,4,82,82,0,0,0,0,9044.782161712646,,,,,,,,,,,,,,,0,0,0,0,0,0,3476.830005645752
P-A,165161,5,64,54,10,0,0,0,3206.6490650177,,,,,,,,,,,,,,,0,0,0,0,0,0,2259.4540119171143
P-A,165162,4,56,47,9,0,0,0,3222.214937210083,,,,,,,,,,,,,,,0,0,0,0,0,0,3995.2239990234375
P-A,165163,8,86,80,6,0,0,0,5603.590250015259,,,,,,,,,,,,,,,0,0,0,0,0,0,2640.597105026245
P-A,165164,4,61,61,0,0,0,0,4363.29197883606,,,,,,,,,,,,,,,0,0,0,0,0,0,2189.537763595581
P-A,165165,6,123,123,0,0,0,0,3450.667142868042,,,,,,,,,,,,,,,0,0,0,0,0,0,12838.093757629395
P-A,165166,3,126,126,0,0,0,0,5740.307807922363,,,,,,,,,,,,,,,0,0,0,0,0,0,3933.246850967407
P-A,165167,6,123,123,0,0,0,0,3536.3829135894775,,,,,,,,,,,,,,,0,0,0,0,0,0,4217.302083969116
P-A,165168,7,121,121,0,0,0,0,3508.7292194366455,,,,,,,,,,,,,,,0,0,0,0,0,0,3661.679983139038
P-A,166403,11,64,60,4,0,0,0,3173.8359928131104,,,,,,,,,,,,,,,0,0,0,0,0,0,4427.954196929932
P-A,166411,12,72,69,3,0,0,0,3199.3541717529297,,,,,,,,,,,,,,,0,0,0,0,0,0,4697.798013687134
P-A,166429,12,65,60,5,0,0,0,3208.6992263793945,,,,,,,,,,,,,,,0,0,0,0,0,0,2531.0211181640625
P-A,166478,14,158,158,0,0,0,0,3466.376304626465,,,,,,,,,,,,,,,0,0,0,0,0,0,12697.443723678589
P-A,166479,12,165,165,0,0,0,0,3243.4799671173096,,,,,,,,,,,,,,,0,0,0,0,0,0,5146.222114562988
P-A,166480,10,182,182,0,0,0,0,3888.7429237365723,,,,,,,,,,,,,,,0,0,0,0,0,0,6815.638065338135
P-A,166494,12,108,107,1,0,0,0,3225.2960205078125,,,,,,,,,,,,,,,0,0,0,0,0,0,7554.508924484253
P-A,166519,2,64,64,0,0,0,0,2975.5783081054688,,,,,,,,,,,,,,,0,0,0,0,0,0,2657.4201583862305
P-A,166520,2,79,68,11,0,0,0,4898.144960403442,,,,,,,,,,,,,,,0,0,0,0,0,0,1438.2619857788086
P-A,166537,8,90,87,3,0,0,0,3253.3230781555176,,,,,,,,,,,,,,,0,0,0,0,0,0,3633.0506801605225
P-A,166538,7,47,45,2,0,0,0,3118.767023086548,,,,,,,,,,,,,,,0,0,0,0,0,0,1551.4659881591797
P-A,166539,12,86,85,1,0,0,0,4409.475803375244,,,,,,,,,,,,,,,0,0,0,0,0,0,2403.369903564453
P-A,166548,17,106,106,0,0,0,0,3550.140142440796,,,,,,,,,,,,,,,0,0,0,0,0,0,5249.084949493408
P-A,166549,12,106,106,0,0,0,0,4632.655143737793,,,,,,,,,,,,,,,0,0,0,0,0,0,17208.80103111267
P-A,169042,13,69,65,4,0,0,0,3309.87286567688,,,,,,,,,,,,,,,0,0,0,0,0,0,5487.009048461914
P-A,171480,9,46,43,3,0,0,0,6642.334938049316,,,,,,,,,,,,,,,0,0,0,0,0,0,2790.8411026000977
P-A,171572,2,195,195,0,0,0,0,3247.0688819885254,,,,,,,,,,,,,,,0,0,0,0,0,0,2787.4019145965576
P-A,171646,9,111,111,0,0,0,0,3475.586175918579,,,,,,,,,,,,,,,0,0,0,0,0,0,2802.1399974823
P-A,171647,12,108,108,0,0,0,0,4751.122951507568,,,,,,,,,,,,,,,0,0,0,0,0,0,3724.729061126709
P-A,171648,12,109,109,0,0,0,0,3412.3659133911133,,,,,,,,,,,,,,,0,0,0,0,0,0,2683.6910247802734
P-A,171649,10,109,109,0,0,0,0,3434.4897270202637,,,,,,,,,,,,,,,0,0,0,0,0,0,3216.1800861358643
P-A,171650,9,110,110,0,0,0,0,3611.572027206421,,,,,,,,,,,,,,,0,0,0,0,0,0,2676.8341064453125
P-A,171921,9,61,57,4,0,0,0,3204.4122219085693,,,,,,,,,,,,,,,0,0,0,0,0,0,2384.4680786132812
P-A,17233,10,85,85,0,0,0,0,3340.318202972412,,,,,,,,,,,,,,,0,0,0,0,0,0,3465.759038925171
P-A,17540,11,130,130,0,0,0,0,5550.793886184692,,,,,,,,,,,,,,,0,0,0,0,0,0,3556.175947189331
P-A,17541,8,163,163,0,0,0,0,4372.07293510437,,,,,,,,,,,,,,,0,0,0,0,0,0,5122.2968101501465
P-A,17680,11,64,64,0,0,0,0,3437.0360374450684,,,,,,,,,,,,,,,0,0,0,0,0,0,2913.161277770996
P-A,176851,10,62,60,2,0,0,0,3207.454204559326,,,,,,,,,,,,,,,0,0,0,0,0,0,2768.805980682373
P-A,176995,9,71,68,3,0,0,0,3266.127824783325,,,,,,,,,,,,,,,0,0,0,0,0,0,2627.6111602783203
P-A,177003,10,72,70,2,0,0,0,5458.949089050293,,,,,,,,,,,,,,,0,0,0,0,0,0,2588.7420177459717
P-A,17789,15,94,94,0,0,0,0,3225.5871295928955,,,,,,,,,,,,,,,0,0,0,0,0,0,2175.2169132232666
P-A,178403,14,67,65,2,0,0,0,3221.151113510132,,,,,,,,,,,,,,,0,0,0,0,0,0,2380.08189201355
P-A,178650,11,109,109,0,0,0,0,3547.6138591766357,,,,,,,,,,,,,,,0,0,0,0,0,0,5290.228843688965
P-A,180614,12,70,67,3,0,0,0,3226.097822189331,,,,,,,,,,,,,,,0,0,0,0,0,0,3337.5208377838135
P-A,180671,17,135,135,0,0,0,0,4548.264026641846,,,,,,,,,,,,,,,0,0,0,0,0,0,5515.132904052734
P-A,180754,14,105,105,0,0,0,0,3484.8039150238037,,,,,,,,,,,,,,,0,0,0,0,0,0,4679.135084152222
P-A,180755,14,106,106,0,0,0,0,3415.255069732666,,,,,,,,,,,,,,,0,0,0,0,0,0,3322.24178314209
P-A,180756,18,113,113,0,0,0,0,3425.0102043151855,,,,,,,,,,,,,,,0,0,0,0,0,0,2967.9009914398193
P-A,181509,11,111,111,0,0,0,0,3594.7201251983643,,,,,,,,,,,,,,,0,0,0,0,0,0,5928.138971328735
P-A,182615,11,176,176,0,0,0,0,4633.498907089233,,,,,,,,,,,,,,,0,0,0,0,0,0,6829.636812210083
P-A,182666,8,73,73,0,0,0,0,3371.232032775879,,,,,,,,,,,,,,,0,0,0,0,0,0,17910.43186187744
P-A,182667,9,116,112,4,0,0,0,3249.5663166046143,,,,,,,,,,,,,,,0,0,0,0,0,0,5379.992723464966
P-A,182668,8,76,73,3,0,0,0,3338.5708332061768,,,,,,,,,,,,,,,0,0,0,0,0,0,3691.267967224121
P-A,182701,6,134,134,0,0,0,0,3437.1347427368164,,,,,,,,,,,,,,,0,0,0,0,0,0,5109.384059906006
P-A,182702,16,151,151,0,0,0,0,4707.505941390991,,,,,,,,,,,,,,,0,0,0,0,0,0,7155.536890029907
P-A,182703,8,131,131,0,0,0,0,25294.80504989624,,,,,,,,,,,,,,,0,0,0,0,0,0,3983.6387634277344
P-A,182704,9,128,128,0,0,0,0,3642.489194869995,,,,,,,,,,,,,,,0,0,0,0,0,0,10238.298892974854
P-A,186068,2,113,112,1,0,0,0,3355.6361198425293,,,,,,,,,,,,,,,0,0,0,0,0,0,11243.368864059448
P-A,187617,9,63,62,1,0,0,0,3316.740036010742,,,,,,,,,,,,,,,0,0,0,0,0,0,4357.06901550293
P-A,187624,11,60,58,2,0,0,0,4449.303150177002,,,,,,,,,,,,,,,0,0,0,0,0,0,3377.0649433135986
P-A,187731,5,86,86,0,0,0,0,4435.938119888306,,,,,,,,,,,,,,,0,0,0,0,0,0,2596.560001373291
P-A,188563,12,124,124,0,0,0,0,5715.79122543335,,,,,,,,,,,,,,,0,0,0,0,0,0,3649.3330001831055
P-A,193452,13,73,71,2,0,0,0,6679.415702819824,,,,,,,,,,,,,,,0,0,0,0,0,0,4651.434898376465
P-A,193536,7,70,69,1,0,0,0,3217.151165008545,,,,,,,,,,,,,,,0,0,0,0,0,0,2052.8953075408936
P-A,193537,7,90,90,0,0,0,0,3219.0871238708496,,,,,,,,,,,,,,,0,0,0,0,0,0,2550.1818656921387
P-A,193538,15,102,102,0,0,0,0,3405.9581756591797,,,,,,,,,,,,,,,0,0,0,0,0,0,3331.9411277770996
P-A,193539,6,91,90,1,0,0,0,3229.9609184265137,,,,,,,,,,,,,,,0,0,0,0,0,0,2310.091018676758
P-A,193566,12,109,109,0,0,0,0,3481.3709259033203,,,,,,,,,,,,,,,0,0,0,0,0,0,3434.7000122070312
P-A,193567,13,107,107,0,0,0,0,3680.666208267212,,,,,,,,,,,,,,,0,0,0,0,0,0,3362.4260425567627
P-A,196451,16,108,108,0,0,0,0,3475.3031730651855,,,,,,,,,,,,,,,0,0,0,0,0,0,4535.109996795654
P-A,196452,16,108,108,0,0,0,0,3399.976968765259,,,,,,,,,,,,,,,0,0,0,0,0,0,9074.59306716919
P-A,196453,10,128,128,0,0,0,0,3213.2959365844727,,,,,,,,,,,,,,,0,0,0,0,0,0,4406.243085861206
P-A,196454,13,128,124,4,0,0,0,4582.657814025879,,,,,,,,,,,,,,,0,0,0,0,0,0,6570.91212272644
P-A,196484,10,92,92,0,0,0,0,3213.46378326416,,,,,,,,,,,,,,,0,0,0,0,0,0,2464.25199508667
P-A,196485,8,106,103,3,0,0,0,3217.4530029296875,,,,,,,,,,,,,,,0,0,0,0,0,0,3788.2778644561768
P-A,196486,10,111,111,0,0,0,0,3430.4420948028564,,,,,,,,,,,,,,,0,0,0,0,0,0,2958.216905593872
P-A,196487,14,113,113,0,0,0,0,3645.678997039795,,,,,,,,,,,,,,,0,0,0,0,0,0,6045.244932174683
P-A,196488,9,109,104,5,0,0,0,3461.1802101135254,,,,,,,,,,,,,,,0,0,0,0,0,0,3478.214979171753
P-A,196489,8,84,83,1,0,0,0,3236.1130714416504,,,,,,,,,,,,,,,0,0,0,0,0,0,2476.3247966766357
P-A,196490,10,102,102,0,0,0,0,3225.483179092407,,,,,,,,,,,,,,,0,0,0,0,0,0,2411.120891571045
P-A,196959,16,65,65,0,0,0,0,3206.004858016968,,,,,,,,,,,,,,,0,0,0,0,0,0,2365.2307987213135
P-A,197066,12,72,72,0,0,0,0,3251.3201236724854,,,,,,,,,,,,,,,0,0,0,0,0,0,3482.8121662139893
P-A,200552,15,87,87,0,0,0,0,3403.228759765625,,,,,,,,,,,,,,,0,0,0,0,0,0,4677.942991256714
P-A,200555,8,96,96,0,0,0,0,3248.167037963867,,,,,,,,,,,,,,,0,0,0,0,0,0,4922.491073608398
P-A,200563,12,126,126,0,0,0,0,3446.1188316345215,,,,,,,,,,,,,,,0,0,0,0,0,0,5425.35662651062
P-A,200564,13,128,128,0,0,0,0,3509.921073913574,,,,,,,,,,,,,,,0,0,0,0,0,0,4301.660776138306
P-A,20078,19,144,144,0,0,0,0,3478.8260459899902,,,,,,,,,,,,,,,0,0,0,0,0,0,3131.448745727539
P-A,201242,11,110,110,0,0,0,0,5732.050895690918,,,,,,,,,,,,,,,0,0,0,0,0,0,2847.540855407715
P-A,201243,10,110,110,0,0,0,0,3448.585033416748,,,,,,,,,,,,,,,0,0,0,0,0,0,3774.229049682617
P-A,20143,9,64,60,4,0,0,0,3408.5140228271484,,,,,,,,,,,,,,,0,0,0,0,0,0,3529.654026031494
P-A,20170,10,92,92,0,0,0,0,7967.921018600464,,,,,,,,,,,,,,,0,0,0,0,0,0,3051.92494392395
P-A,20171,10,93,93,0,0,0,0,4556.112289428711,,,,,,,,,,,,,,,0,0,0,0,0,0,3658.8568687438965
P-A,20172,11,93,93,0,0,0,0,3423.2311248779297,,,,,,,,,,,,,,,0,0,0,0,0,0,7072.176218032837
P-A,210901,11,85,85,0,0,0,0,3226.593017578125,,,,,,,,,,,,,,,0,0,0,0,0,0,2874.682903289795
P-A,210902,11,61,61,0,0,0,0,3261.931896209717,,,,,,,,,,,,,,,0,0,0,0,0,0,2898.8962173461914
P-A,210947,9,113,113,0,0,0,0,4637.394189834595,,,,,,,,,,,,,,,0,0,0,0,0,0,3349.074125289917
P-A,216699,11,67,67,0,0,0,0,3272.4618911743164,,,,,,,,,,,,,,,0,0,0,0,0,0,2371.0198402404785
P-A,218533,2,34,34,0,0,0,0,3020.0798511505127,,,,,,,,,,,,,,,0,0,0,0,0,0,1402.2939205169678
P-A,220677,11,76,73,3,0,0,0,3274.6171951293945,,,,,,,,,,,,,,,0,0,0,0,0,0,2883.6209774017334
P-A,221150,10,101,101,0,0,0,0,4641.992092132568,,,,,,,,,,,,,,,0,0,0,0,0,0,3734.7307205200195
P-A,221151,6,92,86,6,0,0,0,3404.355049133301,,,,,,,,,,,,,,,0,0,0,0,0,0,2746.15216255188
P-A,221152,7,89,83,6,0,0,0,5495.070934295654,,,,,,,,,,,,,,,0,0,0,0,0,0,2621.574878692627
P-A,221153,5,86,79,7,0,0,0,3285.9251499176025,,,,,,,,,,,,,,,0,0,0,0,0,0,2688.861846923828
P-A,221191,15,129,129,0,0,0,0,3442.9221153259277,,,,,,,,,,,,,,,0,0,0,0,0,0,4312.774896621704
P-A,222844,11,89,84,5,0,0,0,3342.9179191589355,,,,,,,,,,,,,,,0,0,0,0,0,0,4698.5180377960205
P-A,222879,4,105,96,9,0,0,0,3229.794979095459,,,,,,,,,,,,,,,0,0,0,0,0,0,2596.466064453125
P-A,222880,2,55,49,6,0,0,0,3135.1020336151123,,,,,,,,,,,,,,,0,0,0,0,0,0,1425.6260395050049
P-A,223,12,67,64,3,0,0,0,3288.8519763946533,,,,,,,,,,,,,,,0,0,0,0,0,0,7794.679164886475
P-A,224986,13,65,63,2,0,0,0,4361.671924591064,,,,,,,,,,,,,,,0,0,0,0,0,0,2273.0932235717773
P-A,225307,15,99,99,0,0,0,0,3475.830078125,,,,,,,,,,,,,,,0,0,0,0,0,0,3233.213186264038
P-A,225422,5,109,109,0,0,0,0,3221.334934234619,,,,,,,,,,,,,,,0,0,0,0,0,0,3825.538158416748
P-A,225423,13,118,118,0,0,0,0,3547.818183898926,,,,,,,,,,,,,,,0,0,0,0,0,0,5948.5650062561035
P-A,225504,11,116,116,0,0,0,0,4546.941041946411,,,,,,,,,,,,,,,0,0,0,0,0,0,3889.070987701416
P-A,225932,15,107,105,2,0,0,0,3487.1082305908203,,,,,,,,,,,,,,,0,0,0,0,0,0,4666.523694992065
P-A,225933,14,139,139,0,0,0,0,3442.9731369018555,,,,,,,,,,,,,,,0,0,0,0,0,0,5780.915975570679
P-A,225939,16,115,115,0,0,0,0,3492.166757583618,,,,,,,,,,,,,,,0,0,0,0,0,0,3642.879009246826
P-A,225940,16,90,90,0,0,0,0,4568.613052368164,,,,,,,,,,,,,,,0,0,0,0,0,0,2705.302953720093
P-A,225941,9,92,86,6,0,0,0,3320.7361698150635,,,,,,,,,,,,,,,0,0,0,0,0,0,3595.898151397705
P-A,225942,8,121,119,2,0,0,0,3544.0261363983154,,,,,,,,,,,,,,,0,0,0,0,0,0,3204.169988632202
P-A,227373,12,121,121,0,0,0,0,3436.481714248657,,,,,,,,,,,,,,,0,0,0,0,0,0,3538.066864013672
P-A,227903,11,63,62,1,0,0,0,3200.305223464966,,,,,,,,,,,,,,,0,0,0,0,0,0,2577.542781829834
P-A,229219,10,182,181,1,0,0,0,4499.02606010437,,,,,,,,,,,,,,,0,0,0,0,0,0,7308.70509147644
