sample_id,model,ground_truth_len,prediction_len,cer,wer,has_prediction,phase,language_simplified
icdar_tr_img_00986,azure_intelligence,15,15,0.0,0.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_01057,azure_intelligence,233,248,0.6854838709677419,0.8787878787878788,True,Phase 1 (OCR),None
icdar_tr_img_01110,azure_intelligence,45,45,0.06666666666666667,0.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_01117,azure_intelligence,23,22,0.8181818181818182,1.0,True,Phase 1 (OCR),None
icdar_tr_img_01175,azure_intelligence,2,5,0.8,1.0,True,Phase 1 (OCR),Latin
icdar_tr_img_01178,azure_intelligence,79,78,0.5769230769230769,1.0,True,Phase 1 (OCR),None
icdar_tr_img_01299,azure_intelligence,51,46,0.5434782608695652,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_01308,azure_intelligence,27,22,0.45454545454545453,1.25,True,Phase 1 (OCR),Symbols
icdar_tr_img_01309,azure_intelligence,47,46,0.717391304347826,0.8333333333333334,True,Phase 1 (OCR),Latin
icdar_tr_img_01496,azure_intelligence,25,11,1.5454545454545454,1.5,True,Phase 1 (OCR),Latin
icdar_tr_img_01517,azure_intelligence,25,26,0.6153846153846154,1.0,True,Phase 1 (OCR),None
icdar_tr_img_01542,azure_intelligence,17,17,0.058823529411764705,0.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_01543,azure_intelligence,43,44,0.06818181818181818,0.3333333333333333,True,Phase 1 (OCR),Symbols
icdar_tr_img_01712,azure_intelligence,35,35,0.17142857142857143,0.4,True,Phase 1 (OCR),Latin
icdar_tr_img_01719,azure_intelligence,91,93,0.5591397849462365,0.47619047619047616,True,Phase 1 (OCR),Symbols
icdar_tr_img_01728,azure_intelligence,36,34,0.6176470588235294,1.25,True,Phase 1 (OCR),Latin
icdar_tr_img_01797,azure_intelligence,167,269,0.5687732342007435,0.6585365853658537,True,Phase 1 (OCR),None
icdar_tr_img_01803,azure_intelligence,58,58,0.5689655172413793,0.6363636363636364,True,Phase 1 (OCR),None
icdar_tr_img_01870,azure_intelligence,141,143,0.6223776223776224,0.85,True,Phase 1 (OCR),None
icdar_tr_img_02018,azure_intelligence,44,44,0.6590909090909091,0.875,True,Phase 1 (OCR),Symbols
icdar_tr_img_02085,azure_intelligence,12,12,0.3333333333333333,0.6666666666666666,True,Phase 1 (OCR),Latin
icdar_tr_img_02128,azure_intelligence,39,39,0.5897435897435898,0.5714285714285714,True,Phase 1 (OCR),None
icdar_tr_img_02164,azure_intelligence,8,6,0.6666666666666666,0.6666666666666666,True,Phase 1 (OCR),Latin
icdar_tr_img_02324,azure_intelligence,4,4,1.0,1.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_02452,azure_intelligence,21,21,0.42857142857142855,1.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_02478,azure_intelligence,15,14,0.14285714285714285,1.0,True,Phase 1 (OCR),Latin
icdar_tr_img_02495,azure_intelligence,15,15,0.6,0.6666666666666666,True,Phase 1 (OCR),Symbols
icdar_tr_img_02572,azure_intelligence,32,33,0.2727272727272727,0.7142857142857143,True,Phase 1 (OCR),Symbols
icdar_tr_img_02626,azure_intelligence,14,22,1.2727272727272727,2.3333333333333335,True,Phase 1 (OCR),Symbols
icdar_tr_img_02899,azure_intelligence,36,38,0.23684210526315788,0.2857142857142857,True,Phase 1 (OCR),Symbols
icdar_tr_img_02932,azure_intelligence,28,28,0.7857142857142857,0.8888888888888888,True,Phase 1 (OCR),Symbols
icdar_tr_img_02969,azure_intelligence,39,34,0.5588235294117647,0.6666666666666666,True,Phase 1 (OCR),None
icdar_tr_img_03006,azure_intelligence,40,39,0.15384615384615385,0.3333333333333333,True,Phase 1 (OCR),Mixed
icdar_tr_img_03017,azure_intelligence,44,44,0.5681818181818182,0.8,True,Phase 1 (OCR),Chinese
icdar_tr_img_03039,azure_intelligence,23,23,0.0,0.0,True,Phase 1 (OCR),Mixed
icdar_tr_img_03052,azure_intelligence,7,19,0.631578947368421,0.8,True,Phase 1 (OCR),Chinese
icdar_tr_img_03120,azure_intelligence,12,13,0.07692307692307693,0.5,True,Phase 1 (OCR),Chinese
icdar_tr_img_03121,azure_intelligence,36,36,0.027777777777777776,0.25,True,Phase 1 (OCR),Chinese
icdar_tr_img_03127,azure_intelligence,25,25,0.64,0.8,True,Phase 1 (OCR),Chinese
icdar_tr_img_03135,azure_intelligence,36,36,0.05555555555555555,0.2,True,Phase 1 (OCR),Chinese
icdar_tr_img_03137,azure_intelligence,2,2,0.0,0.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03155,azure_intelligence,218,223,0.1031390134529148,0.05555555555555555,True,Phase 1 (OCR),Mixed
icdar_tr_img_03160,azure_intelligence,125,128,0.453125,0.6363636363636364,True,Phase 1 (OCR),Mixed
icdar_tr_img_03160,azure_intelligence,125,128,0.453125,0.6363636363636364,True,Phase 1 (OCR),Mixed
icdar_tr_img_03166,azure_intelligence,26,26,0.34615384615384615,0.5,True,Phase 1 (OCR),Chinese
icdar_tr_img_03181,azure_intelligence,15,11,0.45454545454545453,3.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03237,azure_intelligence,159,159,0.06289308176100629,0.26666666666666666,True,Phase 1 (OCR),Mixed
icdar_tr_img_03241,azure_intelligence,59,59,0.3220338983050847,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03286,azure_intelligence,39,40,0.175,0.6,True,Phase 1 (OCR),Chinese
icdar_tr_img_03291,azure_intelligence,79,80,0.0125,0.1111111111111111,True,Phase 1 (OCR),Chinese
icdar_tr_img_03306,azure_intelligence,6,8,0.25,0.25,True,Phase 1 (OCR),Chinese
icdar_tr_img_03314,azure_intelligence,4,6,0.3333333333333333,1.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03316,azure_intelligence,80,84,0.39285714285714285,0.625,True,Phase 1 (OCR),Mixed
icdar_tr_img_03320,azure_intelligence,73,79,0.26582278481012656,0.6,True,Phase 1 (OCR),Chinese
icdar_tr_img_03342,azure_intelligence,15,16,0.3125,0.5,True,Phase 1 (OCR),Chinese
icdar_tr_img_03369,azure_intelligence,26,26,0.0,0.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03371,azure_intelligence,105,104,0.4519230769230769,0.3333333333333333,True,Phase 1 (OCR),Chinese
icdar_tr_img_03444,azure_intelligence,135,137,0.5766423357664233,0.7058823529411765,True,Phase 1 (OCR),Chinese
icdar_tr_img_03445,azure_intelligence,24,24,0.5416666666666666,0.5,True,Phase 1 (OCR),Chinese
icdar_tr_img_03463,azure_intelligence,165,170,0.2411764705882353,0.4,True,Phase 1 (OCR),Mixed
icdar_tr_img_03464,azure_intelligence,53,43,0.46511627906976744,0.8333333333333334,True,Phase 1 (OCR),Mixed
icdar_tr_img_03487,azure_intelligence,38,37,0.43243243243243246,0.6666666666666666,True,Phase 1 (OCR),Mixed
icdar_tr_img_03524,azure_intelligence,10,10,0.0,0.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03527,azure_intelligence,50,50,0.48,0.42857142857142855,True,Phase 1 (OCR),Chinese
icdar_tr_img_03529,azure_intelligence,15,17,0.6470588235294118,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03573,azure_intelligence,15,15,0.0,0.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_03591,azure_intelligence,137,139,0.17266187050359713,0.45454545454545453,True,Phase 1 (OCR),Mixed
icdar_tr_img_03638,azure_intelligence,12,13,0.5384615384615384,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03642,azure_intelligence,19,19,0.5789473684210527,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03645,azure_intelligence,23,21,0.09523809523809523,0.3333333333333333,True,Phase 1 (OCR),Mixed
icdar_tr_img_03655,azure_intelligence,66,66,0.3333333333333333,0.4,True,Phase 1 (OCR),Chinese
icdar_tr_img_03656,azure_intelligence,17,20,0.4,0.4,True,Phase 1 (OCR),Chinese
icdar_tr_img_03664,azure_intelligence,38,38,0.3684210526315789,0.5,True,Phase 1 (OCR),Mixed
icdar_tr_img_03665,azure_intelligence,17,17,0.5882352941176471,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03676,azure_intelligence,61,61,0.2459016393442623,0.18181818181818182,True,Phase 1 (OCR),Chinese
icdar_tr_img_03693,azure_intelligence,54,59,0.1016949152542373,0.4,True,Phase 1 (OCR),Chinese
icdar_tr_img_03701,azure_intelligence,50,50,0.08,0.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03718,azure_intelligence,10,3,2.6666666666666665,2.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03721,azure_intelligence,226,235,0.3617021276595745,0.37142857142857144,True,Phase 1 (OCR),Mixed
icdar_tr_img_03727,azure_intelligence,9,55,0.8545454545454545,0.8888888888888888,True,Phase 1 (OCR),Chinese
icdar_tr_img_03735,azure_intelligence,63,64,0.625,0.8888888888888888,True,Phase 1 (OCR),Chinese
icdar_tr_img_03748,azure_intelligence,30,31,0.3225806451612903,0.7142857142857143,True,Phase 1 (OCR),Chinese
icdar_tr_img_03763,azure_intelligence,57,51,0.4117647058823529,0.3333333333333333,True,Phase 1 (OCR),Mixed
icdar_tr_img_03763,azure_intelligence,57,51,0.4117647058823529,0.3333333333333333,True,Phase 1 (OCR),Mixed
icdar_tr_img_03767,azure_intelligence,67,69,0.3188405797101449,0.3,True,Phase 1 (OCR),Chinese
icdar_tr_img_03799,azure_intelligence,138,139,0.31654676258992803,0.42105263157894735,True,Phase 1 (OCR),Mixed
icdar_tr_img_03849,azure_intelligence,24,21,0.38095238095238093,1.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_03858,azure_intelligence,52,59,0.576271186440678,0.75,True,Phase 1 (OCR),Chinese
icdar_tr_img_03863,azure_intelligence,13,13,0.0,0.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03874,azure_intelligence,30,30,0.26666666666666666,0.4,True,Phase 1 (OCR),Chinese
icdar_tr_img_03877,azure_intelligence,22,22,0.7727272727272727,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03896,azure_intelligence,23,23,0.9130434782608695,1.0,True,Phase 1 (OCR),None
icdar_tr_img_03917,azure_intelligence,34,41,0.4634146341463415,0.5555555555555556,True,Phase 1 (OCR),Chinese
icdar_tr_img_03918,azure_intelligence,94,94,0.5106382978723404,0.7272727272727273,True,Phase 1 (OCR),Chinese
icdar_tr_img_03922,azure_intelligence,17,12,1.1666666666666667,1.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_03939,azure_intelligence,9,9,0.1111111111111111,0.5,True,Phase 1 (OCR),Chinese
icdar_tr_img_03953,azure_intelligence,133,141,0.2978723404255319,0.7777777777777778,True,Phase 1 (OCR),Chinese
icdar_tr_img_03958,azure_intelligence,21,15,0.4,0.6666666666666666,True,Phase 1 (OCR),Chinese
icdar_tr_img_03981,azure_intelligence,11,19,0.42105263157894735,0.6,True,Phase 1 (OCR),Chinese
icdar_tr_img_03989,azure_intelligence,4,4,0.0,0.0,True,Phase 1 (OCR),Chinese
icdar_tr_img_04073,azure_intelligence,72,72,0.6666666666666666,0.6666666666666666,True,Phase 1 (OCR),Latin
icdar_tr_img_04118,azure_intelligence,28,28,0.14285714285714285,0.5,True,Phase 1 (OCR),Latin
icdar_tr_img_04155,azure_intelligence,37,58,0.603448275862069,0.6153846153846154,True,Phase 1 (OCR),Symbols
icdar_tr_img_04262,azure_intelligence,10,6,1.5,1.5,True,Phase 1 (OCR),None
icdar_tr_img_04276,azure_intelligence,160,160,0.525,0.8571428571428571,True,Phase 1 (OCR),Symbols
icdar_tr_img_04418,azure_intelligence,17,17,0.8235294117647058,0.6666666666666666,True,Phase 1 (OCR),Symbols
icdar_tr_img_04520,azure_intelligence,7,6,0.16666666666666666,1.0,True,Phase 1 (OCR),Latin
icdar_tr_img_04546,azure_intelligence,44,273,0.8864468864468864,0.9215686274509803,True,Phase 1 (OCR),Symbols
icdar_tr_img_04614,azure_intelligence,152,140,0.2785714285714286,0.625,True,Phase 1 (OCR),Symbols
icdar_tr_img_04645,azure_intelligence,52,49,0.7142857142857143,1.3,True,Phase 1 (OCR),Symbols
icdar_tr_img_04690,azure_intelligence,18,18,0.05555555555555555,0.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_04746,azure_intelligence,93,95,0.5052631578947369,0.8666666666666667,True,Phase 1 (OCR),Symbols
icdar_tr_img_04826,azure_intelligence,197,195,0.558974358974359,0.6896551724137931,True,Phase 1 (OCR),Symbols
icdar_tr_img_04861,azure_intelligence,43,59,0.5423728813559322,0.5625,True,Phase 1 (OCR),None
icdar_tr_img_04911,azure_intelligence,23,17,2.1176470588235294,6.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_04915,azure_intelligence,54,58,0.39655172413793105,0.5833333333333334,True,Phase 1 (OCR),Latin
icdar_tr_img_04917,azure_intelligence,14,16,0.1875,0.3333333333333333,True,Phase 1 (OCR),Latin
icdar_tr_img_04927,azure_intelligence,31,32,0.28125,0.6,True,Phase 1 (OCR),Latin
icdar_tr_img_05000,azure_intelligence,22,26,0.9615384615384616,1.1666666666666667,True,Phase 1 (OCR),None
icdar_tr_img_05003,azure_intelligence,82,99,0.5050505050505051,0.6666666666666666,True,Phase 1 (OCR),None
icdar_tr_img_05004,azure_intelligence,36,35,0.6285714285714286,0.875,True,Phase 1 (OCR),Symbols
icdar_tr_img_05009,azure_intelligence,69,118,1.1271186440677967,1.5,True,Phase 1 (OCR),Mixed
icdar_tr_img_05038,azure_intelligence,18,18,0.5555555555555556,1.5,True,Phase 1 (OCR),Korean
icdar_tr_img_05044,azure_intelligence,46,50,0.18,0.7272727272727273,True,Phase 1 (OCR),Korean
icdar_tr_img_05065,azure_intelligence,25,25,0.24,0.5,True,Phase 1 (OCR),None
icdar_tr_img_05071,azure_intelligence,50,62,0.5483870967741935,0.7333333333333333,True,Phase 1 (OCR),Symbols
icdar_tr_img_05100,azure_intelligence,80,91,0.8901098901098901,0.9615384615384616,True,Phase 1 (OCR),Mixed
icdar_tr_img_05112,azure_intelligence,104,77,1.025974025974026,1.25,True,Phase 1 (OCR),None
icdar_tr_img_05136,azure_intelligence,87,58,2.7758620689655173,2.5625,True,Phase 1 (OCR),None
icdar_tr_img_05146,azure_intelligence,33,22,4.0,3.5714285714285716,True,Phase 1 (OCR),None
icdar_tr_img_05153,azure_intelligence,40,38,0.7894736842105263,0.7777777777777778,True,Phase 1 (OCR),Korean
icdar_tr_img_05175,azure_intelligence,26,39,0.5641025641025641,0.875,True,Phase 1 (OCR),Symbols
icdar_tr_img_05182,azure_intelligence,54,57,0.5263157894736842,0.8461538461538461,True,Phase 1 (OCR),Korean
icdar_tr_img_05183,azure_intelligence,143,196,0.9948979591836735,1.2380952380952381,True,Phase 1 (OCR),None
icdar_tr_img_05200,azure_intelligence,5,27,0.8888888888888888,1.0,True,Phase 1 (OCR),None
icdar_tr_img_05206,azure_intelligence,13,24,0.875,1.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05216,azure_intelligence,66,64,1.5,2.1538461538461537,True,Phase 1 (OCR),Mixed
icdar_tr_img_05223,azure_intelligence,9,14,0.7142857142857143,0.75,True,Phase 1 (OCR),Korean
icdar_tr_img_05246,azure_intelligence,73,97,0.8247422680412371,0.92,True,Phase 1 (OCR),Symbols
icdar_tr_img_05257,azure_intelligence,29,29,0.6551724137931034,0.6,True,Phase 1 (OCR),Korean
icdar_tr_img_05262,azure_intelligence,17,18,0.5,0.6666666666666666,True,Phase 1 (OCR),Korean
icdar_tr_img_05273,azure_intelligence,21,18,0.2777777777777778,0.5,True,Phase 1 (OCR),Korean
icdar_tr_img_05282,azure_intelligence,49,81,0.6049382716049383,0.75,True,Phase 1 (OCR),Korean
icdar_tr_img_05311,azure_intelligence,208,226,0.911504424778761,0.9622641509433962,True,Phase 1 (OCR),Symbols
icdar_tr_img_05352,azure_intelligence,69,73,0.3698630136986301,0.375,True,Phase 1 (OCR),Symbols
icdar_tr_img_05363,azure_intelligence,27,27,0.7407407407407407,0.6666666666666666,True,Phase 1 (OCR),Mixed
icdar_tr_img_05370,azure_intelligence,2,3,1.0,1.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05372,azure_intelligence,26,19,1.0526315789473684,1.6666666666666667,True,Phase 1 (OCR),None
icdar_tr_img_05382,azure_intelligence,7,8,0.625,0.75,True,Phase 1 (OCR),Korean
icdar_tr_img_05406,azure_intelligence,28,105,0.9142857142857143,1.1875,True,Phase 1 (OCR),Korean
icdar_tr_img_05413,azure_intelligence,70,66,0.8181818181818182,0.9473684210526315,True,Phase 1 (OCR),None
icdar_tr_img_05420,azure_intelligence,28,38,1.0,1.25,True,Phase 1 (OCR),Korean
icdar_tr_img_05433,azure_intelligence,66,97,0.9072164948453608,1.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05435,azure_intelligence,41,39,0.6666666666666666,0.9,True,Phase 1 (OCR),Mixed
icdar_tr_img_05437,azure_intelligence,46,43,1.255813953488372,1.5,True,Phase 1 (OCR),Mixed
icdar_tr_img_05438,azure_intelligence,38,38,0.5263157894736842,0.6363636363636364,True,Phase 1 (OCR),Symbols
icdar_tr_img_05445,azure_intelligence,61,64,0.75,0.875,True,Phase 1 (OCR),Symbols
icdar_tr_img_05447,azure_intelligence,13,13,0.3076923076923077,0.5,True,Phase 1 (OCR),Korean
icdar_tr_img_05448,azure_intelligence,27,25,0.56,0.75,True,Phase 1 (OCR),Korean
icdar_tr_img_05470,azure_intelligence,77,74,0.47297297297297297,0.8571428571428571,True,Phase 1 (OCR),Symbols
icdar_tr_img_05472,azure_intelligence,137,142,0.5070422535211268,0.7407407407407407,True,Phase 1 (OCR),None
icdar_tr_img_05476,azure_intelligence,57,49,1.0204081632653061,1.3333333333333333,True,Phase 1 (OCR),Symbols
icdar_tr_img_05485,azure_intelligence,32,120,0.825,0.8333333333333334,True,Phase 1 (OCR),Symbols
icdar_tr_img_05501,azure_intelligence,50,56,0.4642857142857143,0.6363636363636364,True,Phase 1 (OCR),Mixed
icdar_tr_img_05505,azure_intelligence,83,68,1.5735294117647058,1.7058823529411764,True,Phase 1 (OCR),None
icdar_tr_img_05509,azure_intelligence,24,27,0.48148148148148145,0.625,True,Phase 1 (OCR),Korean
icdar_tr_img_05518,azure_intelligence,12,12,0.0,0.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05535,azure_intelligence,492,562,1.398576512455516,1.5285714285714285,True,Phase 1 (OCR),None
icdar_tr_img_05537,azure_intelligence,36,43,0.627906976744186,0.9166666666666666,True,Phase 1 (OCR),None
icdar_tr_img_05541,azure_intelligence,43,54,0.6296296296296297,0.7142857142857143,True,Phase 1 (OCR),Korean
icdar_tr_img_05541,azure_intelligence,43,54,0.6296296296296297,0.7142857142857143,True,Phase 1 (OCR),Korean
icdar_tr_img_05542,azure_intelligence,3,5,0.6,1.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05544,azure_intelligence,74,160,0.86875,0.9666666666666667,True,Phase 1 (OCR),None
icdar_tr_img_05633,azure_intelligence,155,135,0.6666666666666666,0.7333333333333333,True,Phase 1 (OCR),Symbols
icdar_tr_img_05636,azure_intelligence,33,39,0.28205128205128205,0.45454545454545453,True,Phase 1 (OCR),Korean
icdar_tr_img_05653,azure_intelligence,106,86,1.755813953488372,2.6875,True,Phase 1 (OCR),Korean
icdar_tr_img_05658,azure_intelligence,3,1,3.0,1.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05661,azure_intelligence,76,145,0.7034482758620689,0.8055555555555556,True,Phase 1 (OCR),None
icdar_tr_img_05664,azure_intelligence,42,53,0.33962264150943394,0.8,True,Phase 1 (OCR),None
icdar_tr_img_05664,azure_intelligence,42,53,0.33962264150943394,0.8,True,Phase 1 (OCR),None
icdar_tr_img_05730,azure_intelligence,27,12,2.4166666666666665,2.0,True,Phase 1 (OCR),Mixed
icdar_tr_img_05745,azure_intelligence,13,13,0.15384615384615385,0.3333333333333333,True,Phase 1 (OCR),Korean
icdar_tr_img_05747,azure_intelligence,109,123,0.943089430894309,1.1481481481481481,True,Phase 1 (OCR),None
icdar_tr_img_05765,azure_intelligence,19,19,0.05263157894736842,0.0,True,Phase 1 (OCR),Korean
icdar_tr_img_05768,azure_intelligence,20,21,0.7619047619047619,0.8333333333333334,True,Phase 1 (OCR),Korean
icdar_tr_img_05771,azure_intelligence,60,74,2.418918918918919,2.7777777777777777,True,Phase 1 (OCR),None
icdar_tr_img_05798,azure_intelligence,46,17,5.411764705882353,6.5,True,Phase 1 (OCR),None
icdar_tr_img_05799,azure_intelligence,17,14,4.857142857142857,6.333333333333333,True,Phase 1 (OCR),None
icdar_tr_img_05806,azure_intelligence,20,41,0.8048780487804879,0.9090909090909091,True,Phase 1 (OCR),None
icdar_tr_img_05807,azure_intelligence,80,83,0.6385542168674698,0.6666666666666666,True,Phase 1 (OCR),Korean
icdar_tr_img_05808,azure_intelligence,30,30,0.26666666666666666,0.5,True,Phase 1 (OCR),Korean
