sample_id,image_path,printed_image_path,dataset,ground_truth,gpt-5-mini_prediction,gpt-5-mini_prompt,gpt-5-mini_ground_truth_inference_time_ms,gpt-5-mini_prediction_inference_time_ms,gpt-5-mini_tokens_used,gpt-5-mini_ground_truth_error,gpt-5-mini_prediction_error,gpt-5-mini_timestamp,gpt-5-nano_prediction,gpt-5-nano_prompt,gpt-5-nano_ground_truth_inference_time_ms,gpt-5-nano_prediction_inference_time_ms,gpt-5-nano_tokens_used,gpt-5-nano_ground_truth_error,gpt-5-nano_prediction_error,gpt-5-nano_timestamp
iam_000_a01-113u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-113u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-113u/printed.png,IAM_mini,"He told them that their conception of social services was wholly different - funda-
mentally different from that of Labour. They would provide an ambulance service for
the absolutely wretched - but it would not be too comfortable nor too easy to get.
Answering jeers that it was Labour which first put a ceiling on health spending and
started charges, Mr. Brown reminded the hostile Government benches that was done
in 1950 because of the financial strain of the Korean war.","He told them that their conception of social
services was wholly different - fundamentally
different from that of Labour. They would
provide an ambulance service for the absolutely
wretched - but it would not be too comfortable
nor too easy to get. Answering jeers that
it was Labour which first put a ceiling
on health spending and started charges, Mr.
Brown reminded the hostile Government benches
that was done in 1950 because of the financial
strain of the Korean war.",Extract all text from this document image,7762.225866317749,9777.459144592285,,,,2025-12-30T21:36:55.398133,"He told them that their conceptions of social services were wholly different - fundamentally different from that of Labour. They would provide an ambulance service for the absolutely wretched - but it would not be too comfortable nor too easy to get. However, it was Labour which first put a ceiling on health spending and started charges, Mr. Brown remarked the hostile Government balance that was done in 1950 because of the financial strain of the Korean War.",Extract all text from this document image,7586.022853851318,21815.444946289062,,,,2025-12-31T03:49:36.083375
iam_000_a03-071,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a03-071/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a03-071/printed.png,IAM_mini,"But, at the same time, there is reason to believe that the Federal Government is not convinced, on the basis of the information it has so far, that such a project would be justified from a scientific point of view; and not merely constitute a ""prestige"" satellite, duplicating to some extent American efforts, as Die Welt suggests today in a highly critical editorial article.","But, at the same time, there is reason to
believe that the Federal Government is not
convinced, on the basis of the information
it has so far, that such a project would
be justified from a scientific point of view;
and not merely constitute a ""prestige""
sacrifice, duplicating to some extent American
efforts, as Die Welt suggests today in
a highly critical article.",Extract all text from this document image,6687.502861022949,8803.311109542847,,,,2025-12-30T22:16:57.747443,"But, at the same time, there is reason to believe that the Federal Government is not conditioned on the basis of the information it has so far, that such a project would be justified from a scientific point of view; and not merely contribute a 'positive' solution, duplicating to some extent American efforts, as Die Welt suggests today in a highly critical article.",Extract all text from this document image,6176.326751708984,18703.423976898193,,,,2025-12-31T04:46:40.158875
iam_000_a05-039,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-039/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-039/printed.png,IAM_mini,"There was a computed 8.4 per cent. swing towards the Nationalist party of Dr. Verwoerd, the Prime Minister. This implies the disappearance of the Progressive party from the House. Early results in yesterday's general election showed Nationalists being returned in their strongholds, like Bloemfontein and the Transvaal, with slightly increased majorities. In the Cape, the veteran United Party politician, Mr. Harry Lawrence, standing as a Progressive, was defeated in his constituency, Salt River, by the United party candidate, Mr. H. M. Timoney.","There was a complicated 8.4 per cent. swing towards the Nationalists party of Dr. Verwoerd, the Prime Minister. This implies the disappearance of the Progressive party from the House. Early results in yesterday's general election showed Nationalists being returned in their strongholds, the Bloemfontein and the Transvaal, with slightly increased majorities. In the Cape, the veteran United Party politician, Mr. Harry Lawrence, standing as a Progressive, was",Extract all text from this document image,7246.122121810913,9852.89216041565,,,,2025-12-30T21:46:21.292223,"Here is my best-effort transcription of the handwritten page:

There was a campaign 8.4 per cent towards the nationalist party of Dr. Velwood, the Prime Minister. This implies the rise / appearance of the Progressive party from the House. Early results in yesterday's general election showed Nationalists netted in their strongholds, the Bloemfontein and the Transvaal, with slightly increased majorities. In the Cape, the veteran United Party politician, Mr. Harry Lawrence, standing as a Progressive, was ...",Extract all text from this document image,8923.017978668213,22598.47116470337,,,,2025-12-31T04:04:19.185030
iam_000_a05-058,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-058/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-058/printed.png,IAM_mini,"""We must not be rattled into surrender, but we must not - and I am not - be afraid of negotiation."" Mr. Godber, Minister of State, Foreign Office, said earlier that the Government had asked the Medical Research Council to reassess the fall-out position in view of the Russian tests. The Council's findings would be made public.","""We must not be rattled into surrender,
but we must not - and I am not - be
afraid of negotiation."" Mr. Godber,
Minister of State, Foreign Office, said
earlier that the Government had asked
the Medical Research Council to reassess
the fall-out position in view of the Russian
tests. The Council's findings would be
made public.",Extract all text from this document image,9910.866975784302,12863.688945770264,,,,2025-12-30T21:58:22.774314,"We must not be led into surrender,
but we must not - and I am not - be afraid of negotiation. Mr. Godber,
Minister of State, Foreign Office, and
insist that the Government had asked
the Medical Research Council to report on its findings in view of the Russian tests. The Council's findings would be made public.",Extract all text from this document image,6468.567848205566,20579.994916915894,,,,2025-12-31T04:21:10.496933
iam_000_a05-084,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-084/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-084/printed.png,IAM_mini,"The Russians now realised its seriousness. The French doubts were more about procedure than about substance. The Prime Minister's attitude of studied calm brought down the temperature of the debate, which never at any time rose to fever pitch, to a remarkable degree of sub-normality. Throughout Mr. Macmillan's speech the Earl of Home, Foreign Secretary, was listening in the Peers' Gallery.","The Russians now realised its seriousness. The French doubts were more about procedure than about substance. The Prime Minister's attitude of studied calm brought down the temperature of the debate, which never at any time rose to fever pitch, to a memorable degree of sub-normality.

Throughout Mr. Macmillan's speech the Earl of Home, Foreign Secretary, was listening in the Peers' Gallery.",Extract all text from this document image,5832.809209823608,12232.067823410034,,,,2025-12-30T23:07:19.648313,,Extract all text from this document image,9233.783721923828,24581.008195877075,,,,2025-12-31T06:07:40.098127
iam_000_a05-099,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-099/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-099/printed.png,IAM_mini,"A reference to the reunification of Germany brought a bark of ""Start another war!"" from Mr. Ellis Smith (Lab., Stoke on Trent S.). Then Mr. Healey launched out on his pet theme of limitation of armaments in Europe. This could, he suggested, be linked with prohibition of the production of atomic weapons in any part of Europe. Inspection and control would be much easier to establish in these territories.","A reference to the reunification of Germany brought a bark of ""start another war!""

from Mr. Elio Smith (Lab., Stoke on Trent S.).

Then Mr. Healy launched out on his pet

theme of limitation of armaments in Europe.

This could, he suggested, be linked with

prohibition of the production of atomic

weapons in any part of Europe. Inspection

and control would be much easier to

establish in these territories.",Extract all text from this document image,7678.24912071228,16573.45175743103,,,,2025-12-30T23:01:01.134827,,Extract all text from this document image,11518.029689788818,23909.71612930298,,,,2025-12-31T05:59:05.630114
iam_000_a05-104,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-104/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-104/printed.png,IAM_mini,"Mr. Healey denounced the Government for using double standards. Ministers had rebuked the unaligned nations for not condemning the new Russian tests, but they themselves had no condemnation for events in Angola or Algeria. It was not for the Government, said Mr. Healey, to take up moral attitudes, ""especially when the temple of their religion is the bingo-parlour.""","Mrs. Healey denounced the Government for using double standards. Ministers had rebuked the maligned nations for not condemning the new Russian tests, but they themselves had no condemnation for events in Angola or Algeria. ""It was not for the Government,"" said Mr. Healey, ""to take up moral attitudes, especially when the temple of their religion is the bingo-parlour.""",Extract all text from this document image,6859.762907028198,12455.575704574585,,,,2025-12-30T20:54:28.587289,,Extract all text from this document image,10566.114902496338,24812.294006347656,,,,2025-12-31T02:42:26.966972
iam_002_a01-003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_002_a01-003/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_002_a01-003/printed.png,IAM_mini,"Though they may gather some Left-wing support, a large majority of Labour MPs are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Though they may gather some Left-wing support, a large majority of Labour MPs are likely to turn down the Foot-Griffiths resolution. Mr Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.",Extract all text from this document image,7787.585735321045,8449.912071228027,,,,2025-12-30T20:59:56.149028,,Extract all text from this document image,6351.509094238281,22573.345184326172,,,,2025-12-31T02:50:32.391138
iam_003_a01-007x,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_003_a01-007x/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_003_a01-007x/printed.png,IAM_mini,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sentiment would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nationalist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.","Since 1958, 13 Labour life peers and peeresses have been created. Most Labour sentiment would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. THE two rival African Nationalist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Premier.",Extract all text from this document image,6056.096076965332,11267.138004302979,,,,2025-12-30T23:10:53.418638,"Since 1958, 13 Labour Life Peers and Peeresses have been created. Most Labour government would still favour the abolition of the House of Lords, but while it remains Labour has to have an adequate number of members. The two rival African Nationalist Parties of Northern Rhodesia have agreed to get together to face the challenge from Sir Roy Welensky, the Federal Prime Minister.",Extract all text from this document image,8379.104852676392,21832.39698410034,,,,2025-12-31T06:13:23.445098
iam_007_a01-014,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_007_a01-014/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_007_a01-014/printed.png,IAM_mini,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future,"" said Mr. Nkumbula last night; ""We want to discuss what to do if the British government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.",Extract all text from this document image,7945.456027984619,12592.727899551392,,,,2025-12-30T20:58:15.696733,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future, said Mr. Nkumbula last night; ""We want to discuss what to do if the British government gives in to Sir Roy and the talks fall through."" There are bound to be demonstrations! Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief to report on his talks with Mr. Macmillan at Chequers.",Extract all text from this document image,7678.558349609375,16592.509984970093,,,,2025-12-31T02:48:00.333812
iam_008_a01-026x,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_008_a01-026x/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_008_a01-026x/printed.png,IAM_mini,"MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.","Mr. Iain Macleod, the Colonial Secretary, denied
in the Commons last night that there have
been secret negotiations on the Northern Rhodesia's
future. The Northern Rhodesia conference in
London has been boycotted by the two main
settlers' parties - the United Federal Party
and the Dominion Party. But representatives
of Sir Roy Welensky, Prime Minister of the
Central African Federation, went to Chequers
at the week-end for talks with Mr. Macmillan.",Extract all text from this document image,6233.489990234375,10037.867069244385,,,,2025-12-30T22:01:36.043781,"Mr. Iain Macleod, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on the Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settler parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macleod.",Extract all text from this document image,6140.737771987915,29696.97594642639,,,,2025-12-31T04:26:14.625577
